 linkdescriptor, linkclass,code
" ""bribes""", cooperative,1
" ""informant agreements""", cooperative,2
" ""non-coercive business negotiations""", cooperative,3
" ""non-coercive employment""", cooperative,4
" ""purposeful resource allocation effort""",cooperative ,5
" ""completion of specifc order or taskinternetwork""",coperative,6
" ""high co-occurence""", neutral,7
" ""amicable or civil family relation""", neutral,8
" ""targeted public disparagement in official or legal setting""", antagonistic,9
" ""accusatory testimony""", antagonistic,10
" ""arrest or capture""", antagonistic,11
" ""Violent or problematic resource allocation efforts""", antagonistic,12
" ""Narcomensaje""", antagonistic,13
" ""Assault""", antagonistic,14
" ""Threat""",antagonistic,15
" ""kidnapping""", antagonistic,16
" ""coercive employment""", antagonistic,17
" ""territory dispute",antagonistic,18
" ""territory dispute",antagonistic,19
" ""Harrasment",antagonistic,20
" ""Documented mutinous action or power struggle""", antagonistic,21
"""Retributive Mandated""",homicide,22
" ""Retributive NonMandated""", homicide,23
" ""Punitive Voluntary""", homicide,24
Punitive Mandated, homicide,25
" ""Unintended or Misdirected", homicide,26
" ""Accidental""", homicide,27
" ""Nonmandated Punitive""", homicide,28
" ""Voluntary/Recognized joining of Group""", cooperative,29
" ""Inform against""", antagonistic,30
" ""Unclear""", homicide,31
