 Source, Target,Type,Label
Oscar Omar Trevino Morales,Miguel Trevino Morales,Undirected,Network Co-occurrence
Jose Trevino Morales,Miguel Trevino Morales,Undirected,Network Co-occurrence
Ivan Velazquez Caballero,Miguel Trevino Morales,Undirected,Network Co-occurrence
Heriberto Lazcano Lazcano,Miguel Trevino Morales,Undirected,Network Co-occurrence
Ricardo Almanza Morales,Miguel Trevino Morales,Undirected,Network Co-occurrence
Eduardo Almanza Morales,Miguel Trevino Morales,Undirected,Network Co-occurrence
Raymundo Almanza Morales,Miguel Trevino Morales,Undirected,Network Co-occurrence
Flavio Mendez Santiago,Miguel Trevino Morales,Undirected,Network Co-occurrence
Sergio Pena Solis,Miguel Trevino Morales,Undirected,Network Co-occurrence
Raul Lucio Hernandez Lechuga,Miguel Trevino Morales,Undirected,Network Co-occurrence
Miguel Trevino Morales,Oscar Omar Trevino Morales,Undirected,Network Co-occurrence
Oscar Omar Trevino Morales,Oscar Omar Trevino Morales,Undirected,Network Co-occurrence
Jose Trevino Morales,Oscar Omar Trevino Morales,Undirected,Network Co-occurrence
Ivan Velazquez Caballero,Oscar Omar Trevino Morales,Undirected,Network Co-occurrence
Heriberto Lazcano Lazcano,Oscar Omar Trevino Morales,Undirected,Network Co-occurrence
Ricardo Almanza Morales,Oscar Omar Trevino Morales,Undirected,Network Co-occurrence
Eduardo Almanza Morales,Oscar Omar Trevino Morales,Undirected,Network Co-occurrence
Raymundo Almanza Morales,Oscar Omar Trevino Morales,Undirected,Network Co-occurrence
Flavio Mendez Santiago,Oscar Omar Trevino Morales,Undirected,Network Co-occurrence
Sergio Pena Solis,Oscar Omar Trevino Morales,Undirected,Network Co-occurrence
Raul Lucio Hernandez Lechuga,Oscar Omar Trevino Morales,Undirected,Network Co-occurrence
Miguel Trevino Morales,Jose Trevino Morales,Undirected,Network Co-occurrence
Oscar Omar Trevino Morales,Jose Trevino Morales,Undirected,Network Co-occurrence
Jose Trevino Morales,Jose Trevino Morales,Undirected,Network Co-occurrence
Ivan Velazquez Caballero,Jose Trevino Morales,Undirected,Network Co-occurrence
